WKT,WorkAreaId,StartTime,StopTime,AreaQM,DeviceId,AppliedValue,MinGpsFix
"MULTIPOLYGON (((12.1170798225007 51.7225466997141,12.1166255086022 51.7223735678789,12.11659581337 51.722427764264,12.1165838021406 51.7224457757989,12.1165171615245 51.7225645854199,12.1164875531205 51.7226128858136,12.1164604482619 51.7226633432772,12.1164379308246 51.7227031052686,12.1164208546189 51.7227306079117,12.1163321307064 51.7228892963654,12.1162405704071 51.7230440391784,12.1161755505834 51.723160359181,12.1161412534584 51.7232169193554,12.1160750469832 51.7233317204212,12.1160437599013 51.7233892782405,12.1160003313477 51.7234626635613,12.1159314910848 51.7235881241483,12.1158982358979 51.7236416554368,12.1158809555078 51.7236720907435,12.1163675107415 51.7237879523436,12.1163846906885 51.7237574900987,12.1163847485739 51.7237574092085,12.1163847341026 51.7237574002207,12.1164208112048 51.7236991143903,12.1164898974809 51.723573321255,12.1165373780155 51.7234927816519,12.1165653656271 51.7234411018485,12.116629589526 51.7233296532291,12.1166673597774 51.7232671071853,12.1167288920032 51.7231567910276,12.1168279195246 51.7229892585868,12.1169084960611 51.722844483235,12.1169298702609 51.7228096285781,12.116953863777 51.7227672062003,12.1169761207298 51.7227252242244,12.1170088549477 51.7226715401434,12.1170703582308 51.7225614396928,12.1170798225007 51.7225466997141)))",21,1599203123,1599203193,5399.72940952714,3,,2
"MULTIPOLYGON (((12.1171033674046 51.722504421141,12.117103222691 51.7225029741065,12.1170386370081 51.7224843693773,12.1169747459505 51.7224638592362,12.1169558897675 51.7224564892469,12.1169282205258 51.7224404730017,12.1167569375003 51.7222558727441,12.1167355633005 51.7222663525094,12.1167166926461 51.7222772726766,12.1167013385324 51.7222876356006,12.1166800656322 51.7223043169424,12.1166566654419 51.7223278379937,12.1166443213712 51.7223428925452,12.1166436556886 51.7223439531046,12.1166293435128 51.7223665843646,12.1166255086022 51.7223735678789,12.1169683324055 51.7225042126036,12.1169683353963 51.7225042137433,12.1170040649273 51.7225407138447,12.1170185652308 51.7225380085193,12.11704135738 51.7225320412655,12.1170413700163 51.7225320460809,12.1170798225007 51.7225466997141,12.1170873476083 51.722534997609,12.1170881290618 51.7225326877465,12.1171018623831 51.7225095441824,12.1171033674046 51.722504421141)))",22,1599203193,1599203195,305.386574343252,3,,2
"MULTIPOLYGON (((12.1169142554347 51.722217393557,12.1168843431374 51.722220548272,12.11686647101 51.7222232535973,12.1168463124081 51.7222271093601,12.1168083395643 51.7222368970655,12.1167787022227 51.7222468645267,12.1167568070578 51.7222559152331,12.1168770640442 51.7224038812512,12.1169142554347 51.722217393557)))",23,1599203195,1599203198,112.922085721746,3,,2
"MULTIPOLYGON (((12.1170041804544 51.722540675444,12.1169309698534 51.7224452430696,12.1169309698534 51.7224452340818,12.1169883053745 51.7222157937301,12.1169670903634 51.7222150567311,12.1169446742296 51.7222154252306,12.1169174970189 51.7222170610087,12.1169142554347 51.722217393557,12.1168770640442 51.7224038812512,12.1169181916441 51.7224544825196,12.1169432560365 51.722491781856,12.1169583351917 51.7225184845858,12.1169611715779 51.7225184486346,12.1169668588217 51.7225269061468,12.116976569103 51.7225263129525,12.1169898682811 51.722542661746,12.1170041804544 51.722540675444)))",24,1599203198,1599203200,129.706217432169,3,,2
"MULTIPOLYGON (((12.1169965225844 51.7222138031566,12.1169689546468 51.7222138031566,12.1169597219202 51.7222492959468,12.1169835273046 51.7222488285817,12.1169965225844 51.7222138031566)))",25,1599203203,1599203204,6.94348890484994,3,,2
"MULTIPOLYGON (((12.1169433822169 51.7222109642672,12.1169396920208 51.722208942014,12.1169124569267 51.7222056075432,12.1168764956042 51.7222042144355,12.1168333854312 51.7221968354583,12.1168108824709 51.722194561547,12.116803270537 51.722190759711,12.1167896240472 51.7221877847519,12.1167855431245 51.722185447926,12.1167823304832 51.7221850344875,12.1167832421787 51.7221832099658,12.1167704929131 51.722182508918,12.1167704350276 51.7221818977482,12.1167651963964 51.7221812596149,12.1167209574576 51.722276233612,12.1167253567501 51.7222767189528,12.1167294087301 51.7222681625749,12.1167311018789 51.7222690164151,12.1167397123364 51.7222689265372,12.1167440103295 51.7222604600372,12.1167432722903 51.7222624733026,12.116750392198 51.7222633361306,12.1167542849931 51.7222546898748,12.116761332544 51.7222575030537,12.1167648490838 51.7222487938833,12.1167799571807 51.7222519845495,12.1167832711214 51.7222432663913,12.1167945443087 51.7222475266047,12.1167972649238 51.722238700593,12.1168123585493 51.7222401026886,12.1168151804639 51.7222312856647,12.1168375821248 51.7222346560867,12.1168402303832 51.7222258210872,12.1168581025092 51.7222291915092,12.1168604323977 51.7222203205586,12.1168721976111 51.7222219922879,12.116907001225 51.7222232595665,12.116909794197 51.7222144425427,12.1169367688067 51.7222177500501,12.1169409799716 51.72221982623,12.1169433822169 51.7222109642672)))",26,1599203205,1599203216,54.4361994047869,3,,2
"MULTIPOLYGON (((12.1167821445451 51.7221847905903,12.1167669496289 51.7221839637134,12.116760480936 51.72220148092,12.1167745615583 51.7222021370288,12.1167821445451 51.7221847905903)))",27,1599203221,1599203221,2.00204838924333,3,,2
"MULTIPOLYGON (((12.1169640854882 51.7222117859355,12.1169395131247 51.7222086761595,12.1169367056816 51.7222174931833,12.1169614082872 51.7222206119471,12.1169640854882 51.7222117859355)))",28,1599203228,1599203230,1.736960034162,3,,2
"MULTIPOLYGON (((12.119080582847 51.7224147690118,12.1189842899937 51.7224053048672,12.1188871288551 51.7223946992732,12.1188063348966 51.7223880752708,12.1187503739011 51.7223825837301,12.118743572332 51.7223813613905,12.1183427138957 51.722343172264,12.1182939307264 51.7223394962572,12.1181298103103 51.7223233002568,12.1180566427921 51.7223180334109,12.1178154620448 51.7222961751018,12.1177407894986 51.7222900903669,12.1176721225931 51.7222824777074,12.1175849612082 51.7222738494275,12.1174772648731 51.7222651672208,12.1173722168085 51.7222554154669,12.1172903519647 51.7222462838707,12.1172616985457 51.7222420326453,12.1172285445141 51.7222381049803,12.1171400662296 51.7222301867359,12.1169937022504 51.7222155366357,12.1169842813535 51.7222510114491,12.11697794287 51.7222502474868,12.1169513443932 51.7223477200865,12.1169583919765 51.7223485649389,12.1169325025996 51.7224461094411,12.1169474660517 51.7224476912924,12.1169451650953 51.7224565622427,12.1169748315139 51.7224596180918,12.1169726029146 51.7224684980299,12.1170174209138 51.7224728031821,12.1170151344289 51.7224816741324,12.1170614285132 51.7224862668939,12.1170592288568 51.722495146832,12.1170901398179 51.7224981397666,12.1170771734222 51.722551464334,12.1171261157772 51.72255534706,12.1171980821672 51.7225647303144,12.1172979784049 51.7225756774446,12.1174102332385 51.7225860403683,12.1175038633498 51.7225934642841,12.1176704873223 51.7226106938806,12.1177384885422 51.7226161854213,12.1179950668843 51.7226393289846,12.1180477862808 51.7226428252355,12.1182258571494 51.7226602885146,12.1182612831946 51.7226627601573,12.1186539218622 51.7227000954435,12.1186712875707 51.7227023963182,12.1187361774345 51.7227086877723,12.1188087516243 51.7227144579345,12.1189049287062 51.7227250904919,12.1190053748581 51.7227349500993,12.119080582847 51.7224147690118)))",29,1599203230,1599203301,5180.0636628944,3,,2
"MULTIPOLYGON (((12.1212346998408 51.7226121063322,12.121185106055 51.722606821511,12.1210362089257 51.7225947329317,12.1208745479449 51.7225785369318,12.120488868346 51.7225447877755,12.1202807683635 51.7225244304283,12.1200784280329 51.7225077940266,12.119880805407 51.7224889556161,12.1194406985456 51.7224499396141,12.119283234296 51.7224335189194,12.119080582847 51.7224147690118,12.1190053748581 51.7227349500993,12.1190568568255 51.7227400026022,12.1190569147115 51.7227396970173,12.1191973026065 51.7227526484245,12.1193696146017 51.7227704802024,12.1198006188977 51.7228086603398,12.1200079084769 51.7228283795539,12.1201996122646 51.7228440452741,12.1204171187136 51.7228652654493,12.1207909027503 51.7228979001194,12.1209689454543 51.7229155880927,12.1211008675294 51.7229261307719,12.1211487247368 51.7229312268495,12.1212346998408 51.7226121063322)))",30,1599203301,1599203368,5403.46427567183,3,,2
"MULTIPOLYGON (((12.1233795919015 51.7228042961313,12.1231438938013 51.7227837680167,12.123040393291 51.7227732523013,12.1227473878612 51.7227467023667,12.1225958418119 51.7227315849022,12.1225101268339 51.722724583413,12.1222672219029 51.7227019521553,12.1216279846904 51.7226508745391,12.1214875962045 51.7226366648416,12.1213448633278 51.7226239111662,12.1212860509573 51.7226176107247,12.1212860654289 51.7226175927491,12.1212346998408 51.7226121063322,12.1211487247368 51.7229312268495,12.121200089963 51.722936713256,12.121200089963 51.7229366862926,12.1212758774591 51.7229447393533,12.1214074672439 51.7229563515793,12.1215331815803 51.7229691681692,12.1215948882604 51.7229746597095,12.1216570869731 51.7229790187882,12.1221905661138 51.7230219894169,12.1224410107213 51.7230452857711,12.1225150182171 51.723051226701,12.1226748419918 51.7230671171154,12.1229568056305 51.7230926244663,12.1230719702084 51.7231042366922,12.1233047450559 51.7231245041609,12.1233795919015 51.7228042961313)))",31,1599203368,1599203437,5404.80325629051,3,,2
"MULTIPOLYGON (((12.1255267566075 51.7230007110912,12.1254954689855 51.7229980327295,12.1254815762394 51.7229959565499,12.1253663677481 51.7229841735563,12.1250086729509 51.7229512872302,12.1248328718263 51.7229361248273,12.1246303705803 51.7229167201872,12.1244522974128 51.7228987446058,12.1243463362806 51.7228901882291,12.1242320105575 51.7228791961611,12.1241312736767 51.7228713767832,12.1239911306004 51.7228580478896,12.1237109746923 51.7228338437693,12.1236187326469 51.7228265726466,12.1235030900072 51.7228150682745,12.1234311805746 51.7228087947966,12.1233795919015 51.7228042961313,12.1233047450559 51.7231245041609,12.1233563478766 51.7231290028154,12.1233563478766 51.7231289758521,12.1234209780891 51.7231345842335,12.1235516856754 51.7231474457619,12.1236357946757 51.7231540158369,12.1239116091006 51.7231778155067,12.1240159349408 51.7231880975392,12.1241519101933 51.7231989098514,12.1242781894667 51.7232109714665,12.1243701854947 51.7232182605648,12.1245502412728 51.7232364338775,12.1247577641677 51.7232563148705,12.1249297737303 51.7232711177618,12.1252803050803 51.7233032850647,12.1254236463825 51.7233185103821,12.1254544130265 51.723321134817,12.1255267566075 51.7230007110912)))",32,1599203437,1599203505,5402.90098811215,3,,2
"MULTIPOLYGON (((12.1276813647774 51.7231956692032,12.1276115100118 51.7231888924093,12.1274779364698 51.7231772532207,12.1273643917234 51.7231660184827,12.1272129022503 51.7231524648948,12.1271197480911 51.7231455173329,12.127026188725 51.7231354420199,12.1269724409314 51.7231303818939,12.1269127308086 51.7231263373882,12.1267347726455 51.723111336766,12.1266072337912 51.7230990684322,12.126488233224 51.7230897031546,12.1263284370106 51.7230740823749,12.1262922578281 51.7230711972942,12.1262512016917 51.723069103139,12.126189451063 51.7230641149154,12.1260282945123 51.7230476762467,12.1258759801538 51.7230335654158,12.1257034922832 51.7230158954199,12.1255783557266 51.7230051460226,12.1255783701983 51.7230051370348,12.1255267566075 51.7230007110912,12.1254544130265 51.723321134817,12.1255060407765 51.7233255607499,12.1255060407765 51.7233255247987,12.1256166043584 51.7233349260275,12.1258002354173 51.7233536925338,12.1259430274149 51.7233668776223,12.1261251534198 51.7233852037269,12.1262002179877 51.7233911087052,12.1262215926488 51.7233917648139,12.1262493203742 51.7233938859324,12.1263880747751 51.7234076102883,12.1265386235895 51.7234197348176,12.1266649902383 51.7234319851758,12.1268531509308 51.7234477767236,12.1268923836363 51.7234501045613,12.1270552333728 51.7234665881688,12.1271405438852 51.7234728886099,12.1272828149026 51.7234855883577,12.1274013234329 51.723497281473,12.127529846361 51.7235084532965,12.12760362295 51.7235156075776,12.1276813647774 51.7231956692032)))",33,1599203505,1599203573,5410.22303117622,3,,2
